date,year,month,mean_hh_price_MMBtu,sd_hh_price_MMBtu,date_minus_month,date_minus_year,date_minus_lag,roll_mean_hh_price_MMBtu
2012-04-01,2012,4,1.49091513019,0.06520904877213154,2012-05-01,2013-04-01,2013-04-01,2.5567069843313686
2012-05-01,2012,5,1.8602241939772728,0.0968355164007357,2012-06-01,2013-05-01,2013-05-01,2.441614080260665
2012-06-01,2012,6,1.8765872789580953,0.16748233399797602,2012-07-01,2013-06-01,2013-06-01,2.313732680358764
2012-07-01,2012,7,2.257943297733333,0.11899193232359775,2012-08-01,2013-07-01,2013-07-01,2.2240049536920417
2012-08-01,2012,8,2.1825722011826088,0.10545415694569461,2012-09-01,2013-08-01,2013-08-01,2.1503560540116067
2012-09-01,2012,9,2.2004294539205262,0.08823043429787102,2012-10-01,2013-09-01,2013-09-01,2.0876564457355395
2012-10-01,2012,10,2.570098956447826,0.07797255532582528,2012-11-01,2013-10-01,2013-10-01,2.076482207138573
2012-11-01,2012,11,2.7383242866142856,0.1010353421990177,2012-12-01,2013-11-01,2013-11-01,2.099623601326549
2012-12-01,2012,12,2.5841164286675,0.0641784127625952,2013-01-01,2013-12-01,2013-12-01,2.1142384330005863
2013-01-01,2013,1,2.5792170296714287,0.12129373531297524,2013-02-01,2014-01-01,2014-01-01,2.1595877866138724
2013-02-01,2013,2,2.59433496144,0.07040511781880429,2013-03-01,2014-02-01,2014-02-01,2.216398557811831
2013-03-01,2013,3,2.9595581083605,0.16077292631939438,2013-04-01,2014-03-01,2014-03-01,2.3245267772636145
2013-04-01,2013,4,3.230043116520909,0.09556768996624285,2013-05-01,2014-04-01,2014-04-01,2.4694541094578573
2013-05-01,2013,5,3.1344323802236365,0.10822015651117915,2013-06-01,2014-05-01,2014-05-01,2.5756381249783877
2013-06-01,2013,6,2.9744625911280003,0.08702583562301607,2013-07-01,2014-06-01,2014-06-01,2.6671277343258795
2013-07-01,2013,7,2.821944486118182,0.06817031500269473,2013-08-01,2014-07-01,2014-07-01,2.7141278333579506
2013-08-01,2013,8,2.6746477021963635,0.07607498901422864,2013-09-01,2014-08-01,2014-08-01,2.7551341251090964
2013-09-01,2013,9,2.82761724432,0.06441195893452654,2013-10-01,2014-09-01,2014-09-01,2.8073997743090526
2013-10-01,2013,10,2.8743233673,0.07104273116054956,2013-11-01,2014-10-01,2014-10-01,2.8327518085467336
2013-11-01,2013,11,2.8484424225400002,0.12402225862164462,2013-12-01,2014-11-01,2014-11-01,2.8419283198738765
2013-12-01,2013,12,3.3278203871266667,0.15916966072461486,2014-01-01,2014-12-01,2014-12-01,2.9039036497454735
2014-01-01,2014,1,3.709123292326667,0.3909080635002843,2014-02-01,2015-01-01,2015-01-01,2.9980625049667435
2014-02-01,2014,2,4.727268378293157,0.8331696832406332,2014-03-01,2015-02-01,2015-02-01,3.1758069563711735
2014-03-01,2014,3,3.8707781517533335,0.783062308867369,2014-04-01,2015-03-01,2015-03-01,3.251741959987243
2014-04-01,2014,4,3.6836611939938098,0.10354021382289336,2014-05-01,2015-04-01,2015-04-01,3.289543466443318
2014-05-01,2014,5,3.630675647175238,0.11069778179766104,2014-06-01,2015-05-01,2015-05-01,3.330897072022618
2014-06-01,2014,6,3.640006200841905,0.0780604569980062,2014-07-01,2015-06-01,2015-06-01,3.386359039498777
2014-07-01,2014,7,3.2177758710036364,0.1769390604439086,2014-08-01,2015-07-01,2015-07-01,3.4193449882392315
2014-08-01,2014,8,3.107240980678095,0.06601504037044285,2014-09-01,2015-08-01,2015-08-01,3.4553944281127094
2014-09-01,2014,9,3.1165407339428572,0.05790376421796118,2014-10-01,2015-09-01,2015-09-01,3.4794713855812804
2014-10-01,2014,10,3.003104857629565,0.12680082844004137,2014-11-01,2015-10-01,2015-10-01,3.4902031764420776
2014-11-01,2014,11,3.2676464076678946,0.16587803693943962,2014-12-01,2015-11-01,2015-11-01,3.525136841869402
2014-12-01,2014,12,2.751217461681818,0.2950457244314169,2015-01-01,2015-12-01,2015-12-01,3.4770865980823316
2015-01-01,2015,1,2.3510816129489998,0.09467887742228238,2015-02-01,2016-01-01,2016-01-01,3.363916458134193
2015-02-01,2015,2,2.2627723929105263,0.16480307241421047,2015-03-01,2016-02-01,2016-02-01,3.15854179268564
2015-03-01,2015,3,2.234277411561818,0.12979822132861113,2015-04-01,2016-03-01,2016-03-01,3.0221667310030136
2015-04-01,2015,4,2.06132126943,0.0448257308757842,2015-05-01,2016-04-01,2016-04-01,2.886971737289363
2015-05-01,2015,5,2.2591151886,0.0842425634668526,2015-06-01,2016-05-01,2016-05-01,2.772675032408093
2015-06-01,2015,6,2.212618038216364,0.08681525505811714,2015-07-01,2016-06-01,2016-06-01,2.6537260188559646
2015-07-01,2015,7,2.2606544270830438,0.05682839300842925,2015-08-01,2016-07-01,2016-07-01,2.5739658985292486
2015-08-01,2015,8,2.208295268190476,0.0622544330733138,2015-09-01,2016-08-01,2016-08-01,2.4990537558219468
2015-09-01,2015,9,2.1136512509936365,0.05070892463954335,2015-10-01,2016-09-01,2016-09-01,2.415479632242845
2015-10-01,2015,10,1.8613041935,0.11292544621561303,2015-11-01,2016-10-01,2016-10-01,2.3203295768987147
2015-11-01,2015,11,1.665681920277143,0.06333160517603137,2015-12-01,2016-11-01,2016-11-01,2.186832536282819
2015-12-01,2015,12,1.534417056741739,0.19207454636003252,2016-01-01,2016-12-01,2016-12-01,2.085432502537812
2016-01-01,2016,1,1.8141489616752382,0.08404022633374632,2016-02-01,2017-01-01,2017-01-01,2.0406881149316654
2016-02-01,2016,2,1.5788909528547619,0.13663620828860004,2016-03-01,2017-02-01,2017-02-01,1.9836979949270184
2016-03-01,2016,3,1.3761809685652173,0.0955432056807106,2016-04-01,2017-03-01,2017-03-01,1.912189958010635
2016-04-01,2016,4,1.5335737739757143,0.05754549358485156,2016-05-01,2017-04-01,2017-04-01,1.8682110000561112
2016-05-01,2016,5,1.5401648481513637,0.08230269769768199,2016-06-01,2017-05-01,2017-05-01,1.8082984716853916
2016-06-01,2016,6,2.078000753359091,0.18184186928988227,2016-07-01,2017-06-01,2017-06-01,1.797080364613952
2016-07-01,2016,7,2.2668678633714285,0.046350300963351666,2016-08-01,2017-07-01,2017-07-01,1.7975981509713173
2016-08-01,2016,8,2.271909304923913,0.07487387837787747,2016-09-01,2017-08-01,2017-08-01,1.8028993206991037
2016-09-01,2016,9,2.414773882899091,0.08897560619129861,2016-10-01,2017-09-01,2017-09-01,1.8279928733578918
2016-10-01,2016,10,2.4082505633785716,0.16207426394676938,2016-11-01,2017-10-01,2017-10-01,1.8735717375144392
2016-11-01,2016,11,2.063802429091818,0.2566184770783294,2016-12-01,2017-11-01,2017-11-01,1.906748446582329
2016-12-01,2016,12,2.914471046238182,0.1039947837932723,2017-01-01,2017-12-01,2017-12-01,2.0217529457070325
2017-01-01,2017,1,2.6925541150772725,0.11674948379716743,2017-02-01,2018-01-01,2018-01-01,2.094953375157202
2017-02-01,2017,2,2.328335790669,0.19188831665753592,2017-03-01,2018-02-01,2018-02-01,2.157407111641722
2017-03-01,2017,3,2.3489177556291305,0.15538583764653535,2017-04-01,2018-03-01,2018-03-01,2.2384685105637145
2017-04-01,2017,4,2.533485019824,0.06466839600735064,2017-05-01,2018-04-01,2018-04-01,2.3217944477177386
2017-05-01,2017,5,2.5703418560417393,0.06493782267599388,2017-06-01,2018-05-01,2018-05-01,2.407642531708603
2017-06-01,2017,6,2.4298334662745456,0.06443574311484013,2017-07-01,2018-06-01,2018-06-01,2.4369619244515577
2017-07-01,2017,7,2.437843727482857,0.057680518570273405,2017-08-01,2018-07-01,2018-07-01,2.45120991312751
2017-08-01,2017,8,2.3791782451769565,0.06635831761067419,2017-09-01,2018-08-01,2018-08-01,2.46014899148193
2017-09-01,2017,9,2.452657779814286,0.07583636860509234,2017-10-01,2018-09-01,2018-09-01,2.46330598289153
2017-10-01,2017,10,2.374482664892727,0.05927963606384212,2017-11-01,2018-10-01,2018-10-01,2.460491991351043
